Date,StdDev
4/9/1996,0.007940796
4/10/1996,0.007985995
4/11/1996,0.009160008
4/12/1996,0.008972783
4/15/1996,0.010066775
4/16/1996,0.010500133
4/17/1996,0.009706392
4/18/1996,0.009633908
4/19/1996,0.009677345
4/22/1996,0.009766477
4/23/1996,0.008398255
4/24/1996,0.008234244
4/25/1996,0.005140745
4/26/1996,0.004913555
4/29/1996,0.003782012
4/30/1996,0.003279739
5/1/1996,0.003347448
5/2/1996,0.003055051
5/3/1996,0.006781317
5/6/1996,0.006742371
5/7/1996,0.006118121
5/8/1996,0.00597844
5/9/1996,0.007450987
5/10/1996,0.007251328
5/13/1996,0.007983152
5/14/1996,0.009307177
5/15/1996,0.00938216
5/16/1996,0.009439631
5/17/1996,0.006712185
5/20/1996,0.006470482
5/21/1996,0.006213512
5/22/1996,0.005803238
5/23/1996,0.005471379
5/24/1996,0.00596102
5/28/1996,0.005687795
5/29/1996,0.005913892
5/30/1996,0.00623149
5/31/1996,0.006370371
6/3/1996,0.006885475
6/4/1996,0.006711806
6/5/1996,0.006740188
6/6/1996,0.007278428
6/7/1996,0.007006902
6/10/1996,0.006910533
6/11/1996,0.006784273
6/12/1996,0.006012047
6/13/1996,0.005609293
6/14/1996,0.005346327
6/17/1996,0.0049447
6/18/1996,0.004855528
6/19/1996,0.004710922
6/20/1996,0.003732182
6/21/1996,0.003278019
6/24/1996,0.004590184
6/25/1996,0.004557088
6/26/1996,0.004562224
6/27/1996,0.005006381
6/28/1996,0.005577526
7/1/1996,0.00546079
7/2/1996,0.005949446
7/3/1996,0.005247515
7/5/1996,0.005337873
7/8/1996,0.010122071
7/9/1996,0.009569607
7/10/1996,0.009698396
7/11/1996,0.009887088
7/12/1996,0.011464881
7/15/1996,0.011024682
7/16/1996,0.013399493
7/17/1996,0.012742772
7/18/1996,0.014127986
7/19/1996,0.015422269
7/22/1996,0.013590257
7/23/1996,0.013673757
7/24/1996,0.013782368
7/25/1996,0.013656871
7/26/1996,0.013064238
7/29/1996,0.013244543
7/30/1996,0.009662105
7/31/1996,0.01007495
8/1/1996,0.009634091
8/2/1996,0.010082654
8/5/1996,0.011440018
8/6/1996,0.011287428
8/7/1996,0.009628206
8/8/1996,0.009604084
8/9/1996,0.009803931
8/12/1996,0.010122065
8/13/1996,0.008672979
8/14/1996,0.009534436
8/15/1996,0.009459593
8/16/1996,0.008383676
8/19/1996,0.005449896
8/20/1996,0.004983814
8/21/1996,0.004958147
8/22/1996,0.005072433
8/23/1996,0.005802104
8/26/1996,0.006010761
8/27/1996,0.005818911
8/28/1996,0.00524258
8/29/1996,0.005211556
8/30/1996,0.006128175
9/3/1996,0.006001403
9/4/1996,0.006576879
9/5/1996,0.006624643
9/6/1996,0.007422941
9/9/1996,0.008361888
9/10/1996,0.009288961
9/11/1996,0.009142414
9/12/1996,0.009239943
9/13/1996,0.009423343
9/16/1996,0.009463881
9/17/1996,0.008051087
9/18/1996,0.008371143
9/19/1996,0.008595933
9/20/1996,0.006492135
9/23/1996,0.005764416
9/24/1996,0.00531432
9/25/1996,0.00529568
9/26/1996,0.005292829
9/27/1996,0.005172581
9/30/1996,0.002335378
10/1/1996,0.002131863
10/2/1996,0.002491505
10/3/1996,0.002752989
10/4/1996,0.002794549
