,AAPL,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_mavg,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sharpe,short_exposure,short_mavg,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2006-04-18 20:00:00+00:00,66.22,0.0945415803644823,0.8142351999999955,-0.005310822687474346,637.5905669752932,0.00544162988536084,0.10150131862892699,0.0,11520.351999999999,6622.0,6622.0,0.0,0.36500228856765654,6622.0,53.18818999999996,6622.0,1,-0.1338688619035113,0.5603121335831871,0.36500228856765654,[],2006-04-18 20:00:00+00:00,2006-04,2006-04-18 13:31:00+00:00,140.90000000000146,18142.352,"[{'amount': 100L, 'last_sale_price': 66.22, 'cost_basis': 9.941, 'sid': Equity(8 [AAPL])}]",0.00782714638796933,1.0514542058571819,0.0,70.24497,0.0,0,1.7378468196648025,11520.351999999999,6481.1,6481.1,1581,[],0.0
2006-04-19 20:00:00+00:00,65.65,0.0945222141330213,0.8085351999999955,-0.005310822687476007,640.2232558489696,0.005439920713711544,0.10095486679869482,0.0,11520.351999999999,6565.000000000001,6565.000000000001,0.0,0.3630009523729481,6565.000000000001,53.27218999999996,6565.000000000001,1,-0.1338688619035113,0.5603121335831871,0.3630009523729481,[],2006-04-19 20:00:00+00:00,2006-04,2006-04-19 13:31:00+00:00,-57.0,18085.352,"[{'amount': 100L, 'last_sale_price': 65.65, 'cost_basis': 9.941, 'sid': Equity(8 [AAPL])}]",-0.0031418197596431163,1.045710160345211,0.0,70.23626999999999,0.0,0,1.7281299510336956,11520.351999999999,6622.0,6622.0,1582,[],0.0
2006-04-20 20:00:00+00:00,67.63,0.0945861483853208,0.8283351999999955,-0.005310822687481403,642.866798391748,0.005438213151465069,0.1025832052452181,0.0,11520.351999999999,6763.0,6763.0,0.0,0.36989934887213244,6763.0,53.36638999999996,6763.0,1,-0.1338688619035113,0.5603121335831871,0.36989934887213244,[],2006-04-20 20:00:00+00:00,2006-04,2006-04-20 13:31:00+00:00,198.0,18283.352,"[{'amount': 100L, 'last_sale_price': 67.63, 'cost_basis': 9.941, 'sid': Equity(8 [AAPL])}]",0.010948086606221485,1.0627691532101449,0.0,70.24146999999999,0.0,0,1.758064816923261,11520.351999999999,6565.000000000001,6565.000000000001,1583,[],0.0
2006-04-21 20:00:00+00:00,67.04,0.09456732734397563,0.8224351999999955,-0.005310822687477839,645.5212393495664,0.005436507196097393,0.10202362850625832,0.0,11520.351999999999,6704.000000000001,6704.000000000001,0.0,0.36785944433031154,6704.000000000001,53.459256666666626,6704.000000000001,1,-0.1338688619035113,0.5603121335831871,0.36785944433031154,[],2006-04-21 20:00:00+00:00,2006-04,2006-04-21 13:31:00+00:00,-59.0,18224.352,"[{'amount': 100L, 'last_sale_price': 67.04, 'cost_basis': 9.941, 'sid': Equity(8 [AAPL])}]",-0.0032269793853993978,1.0568808372405358,0.0,70.21846999999998,0.0,0,1.748085196452204,11520.351999999999,6763.0,6763.0,1584,[],0.0
2006-04-24 20:00:00+00:00,65.75,0.09458444588718415,0.8095351999999953,-0.00531082268747552,648.1866236528347,0.005434802845090029,0.10087123124929513,0.0,11520.351999999999,6575.0,6575.0,0.0,0.3633529759465304,6575.0,53.54307333333329,6575.0,1,-0.1338688619035113,0.5603121335831871,0.3633529759465304,[],2006-04-24 20:00:00+00:00,2006-04,2006-04-24 13:31:00+00:00,-129.0,18095.352,"[{'amount': 100L, 'last_sale_price': 65.75, 'cost_basis': 9.941, 'sid': Equity(8 [AAPL])}]",-0.007078440978313116,1.044124458120623,0.0,70.17936999999999,0.0,0,1.725741084930195,11520.351999999999,6704.000000000001,6704.000000000001,1585,[],0.0
2006-04-25 20:00:00+00:00,66.17,0.09455773065480468,0.8137351999999956,-0.005310822687473518,650.8629964171955,0.005433100095930014,0.10116788938869815,0.0,11520.351999999999,6617.0,6617.0,0.0,0.36482723608165074,6617.0,53.62258999999996,6617.0,1,-0.1338688619035113,0.5603121335831871,0.36482723608165074,[],2006-04-25 20:00:00+00:00,2006-04,2006-04-25 13:31:00+00:00,42.0,18137.352,"[{'amount': 100L, 'last_sale_price': 66.17, 'cost_basis': 9.941, 'sid': Equity(8 [AAPL])}]",0.002321038021255495,1.0476610898840968,0.0,70.16006999999999,0.0,0,1.7316433886079312,11520.351999999999,6575.0,6575.0,1586,[],0.0
2006-04-26 20:00:00+00:00,68.15,0.09462088681946275,0.8335351999999954,-0.005310822687478709,653.5504029442878,0.005431398946109889,0.10278712885886836,0.0,11520.351999999999,6815.000000000001,6815.000000000001,0.0,0.3716863466815364,6815.000000000001,53.702406666666626,6815.000000000001,1,-0.1338688619035113,0.5603121335831871,0.3716863466815364,[],2006-04-26 20:00:00+00:00,2006-04,2006-04-26 13:31:00+00:00,198.0,18335.352,"[{'amount': 100L, 'last_sale_price': 68.15, 'cost_basis': 9.941, 'sid': Equity(8 [AAPL])}]",0.010916698314064721,1.0646222040017532,0.0,70.16336999999999,0.0,0,1.7614081823039844,11520.351999999999,6617.0,6617.0,1587,[],0.0
2006-04-27 20:00:00+00:00,69.36,0.09462330481518103,0.8456351999999956,-0.005310822687475595,656.2488887225135,0.00542969939312769,0.10374024138952649,0.0,11520.351999999999,6936.0,6936.0,0.0,0.37580557631323896,6936.0,53.783389999999955,6936.0,1,-0.1338688619035113,0.5603121335831871,0.37580557631323896,[],2006-04-27 20:00:00+00:00,2006-04,2006-04-27 13:31:00+00:00,121.0,18456.352,"[{'amount': 100L, 'last_sale_price': 69.36, 'cost_basis': 9.941, 'sid': Equity(8 [AAPL])}]",0.006599273360009761,1.0749920611054535,0.0,70.14096999999998,0.0,0,1.7791707517212318,11520.351999999999,6815.000000000001,6815.000000000001,1588,[],0.0
2006-04-28 20:00:00+00:00,70.39,0.0946159717965404,0.8559351999999956,-0.005310822687477528,658.9584994278074,0.005428001434486924,0.10453558131929626,0.0,11520.351999999999,7039.0,7039.0,0.0,0.37926970726133113,7039.0,53.871673333333284,7039.0,1,-0.1338688619035113,0.5603121335831871,0.37926970726133113,[],2006-04-28 20:00:00+00:00,2006-04,2006-04-28 13:31:00+00:00,103.0,18559.352,"[{'amount': 100L, 'last_sale_price': 70.39, 'cost_basis': 9.941, 'sid': Equity(8 [AAPL])}]",0.005580734481006822,1.083752935819532,0.0,70.11856999999998,0.0,0,1.7940961003669242,11520.351999999999,6936.0,6936.0,1589,[],0.0
2006-05-01 20:00:00+00:00,69.60000000000001,0.09460441423121722,0.8480351999999955,-0.005310822687477847,661.6792809244107,0.005426305067696566,0.1038187244715435,0.0,11520.351999999999,6960.000000000001,6960.000000000001,0.0,0.3766162029814151,6960.000000000001,53.95898999999996,6960.000000000001,1,-0.1338688619035113,0.5603121335831871,0.3766162029814151,[],2006-05-01 20:00:00+00:00,2006-05,2006-05-01 13:31:00+00:00,-79.0,18480.352,"[{'amount': 100L, 'last_sale_price': 69.60000000000001, 'cost_basis': 9.941, 'sid': Equity(8 [AAPL])}]",-0.0042566141317864625,1.0760725498478505,0.0,70.09637,0.0,0,1.7809412780421816,11520.351999999999,7039.0,7039.0,1590,[],0.0
2006-05-02 20:00:00+00:00,71.62,0.09466740360041616,0.8682351999999953,-0.005310822687475792,664.411279265647,0.005424610290271029,0.10543430995397868,0.0,11520.351999999999,7162.0,7162.0,0.0,0.38335644248647066,7162.0,54.055573333333285,7162.0,1,-0.1338688619035113,0.5603121335831871,0.38335644248647066,[],2006-05-02 20:00:00+00:00,2006-05,2006-05-02 13:31:00+00:00,202.0,18682.352,"[{'amount': 100L, 'last_sale_price': 71.62, 'cost_basis': 9.941, 'sid': Equity(8 [AAPL])}]",0.01093052773020764,1.0929688604209578,0.0,70.07207,0.0,0,1.8106788491313224,11520.351999999999,6960.000000000001,6960.000000000001,1591,[],0.0
